Country,Mintage_year,Mint_count,Description,Image,YearID,Price,Country_map_name
Greece,2004,50000000,Summer Olympics in Athens 2004,https://www.coin-database.com/images/Greece/1-v.jpg,0,5.9,Elláda
Finland,2004,1000000,Fifth Enlargement of the European Union in 2004,https://www.coin-database.com/images/Finland/230-v.jpg,0,55.9,Suomi/Finland
Luxembourg,2004,2490000,Effigy and Monogram of Grand Duke Henri,https://www.coin-database.com/images/Luxembourg/231-v.jpg,0,4.9,Luxembourg
San Marino,2004,110000,Bartolomeo Borghesi,https://www.coin-database.com/images/San-Marino/233-v.jpg,0,139.0,San Marino
Vatican City,2004,100000,75th Anniversary of the Foundation of the Vatican City State,https://www.coin-database.com/images/Vatican-City/234-v.jpg,0,139.0,Vatican City
Italy,2004,16000000,Fifth Decade of the World Food Programme,https://www.coin-database.com/images/Italy/232-v.jpg,0,6.5,Italia
Luxembourg,2005,2800000,50th birthday of Grand Duke Henri 5th anniversary of his accession to the throne and 100th anniversary of the death of Grand Duke Adolphe,https://www.coin-database.com/images/Luxembourg/235-v.jpg,0,4.9,Luxembourg
Belgium,2005,6000000,Belgium-Luxembourg Economic Union,https://www.coin-database.com/images/Belgium/236-v.jpg,0,16.0,Belgique/België
Spain,2005,8000000,4th centenary of the first edition of Miguel de Cervantes’ The ingenious gentleman Don Quixote of La Mancha,https://www.coin-database.com/images/Spain/237-v.jpg,0,6.9,España
Austria,2005,7000000,50th Anniversary of the Austrian State Treaty,https://www.coin-database.com/images/Austria/238-v.jpg,0,6.0,Österreich
San Marino,2005,130000,World Year of Physics 2005,https://www.coin-database.com/images/San-Marino/239-v.jpg,0,139.0,San Marino
Finland,2005,2000000,60th Anniversary of the Establishment of the United Nations and 50th Anniversary of Finland's UN Membership,https://www.coin-database.com/images/Finland/240-v.jpg,0,6.9,Suomi/Finland
Italy,2005,18000000,1st Anniversary of the Signing of the European Constitution,https://www.coin-database.com/images/Italy/241-v.jpg,0,4.5,Italia
Vatican City,2005,100000,20th World Youth Day held in Cologne in August 2005,https://www.coin-database.com/images/Vatican-City/242-v.jpg,0,260.0,Vatican City
Italy,2006,40000000,Winter Olympics in Turin 2006,https://www.coin-database.com/images/Italy/243-v.jpg,0,4.5,Italia
Luxembourg,2006,1100000,25th Birthday of Hereditary Grand Duke Guillaume,https://www.coin-database.com/images/Luxembourg/244-v.jpg,0,7.9,Luxembourg
Germany,2006,30000000,Holstentor in Lübeck (Schleswig-Holstein),https://www.coin-database.com/images/Germany/245-v.jpg,0,4.9,Deutschland
Belgium,2006,5000000,Renovation of the Atomium in Brussels,https://www.coin-database.com/images/Belgium/246-v.jpg,0,11.9,Belgique/België
Finland,2006,2500000,1st Centenary of the Introduction of Universal and Equal Suffrage,https://www.coin-database.com/images/Finland/247-v.jpg,0,8.0,Suomi/Finland
San Marino,2006,120000,500th Anniversary of the Death of Christopher Columbus,https://www.coin-database.com/images/San-Marino/248-v.jpg,0,109.0,San Marino
Vatican City,2006,100000,500th Anniversary of the Swiss Guard,https://www.coin-database.com/images/Vatican-City/249-v.jpg,0,229.0,Vatican City
Germany,2007,30000000,Schwerin Castle (Mecklenburg-Vorpommern),https://www.coin-database.com/images/Germany/250-v.jpg,0,9.9,Deutschland
Luxembourg,2007,1100000,Grand Ducal Palace,https://www.coin-database.com/images/Luxembourg/251-v.jpg,0,5.9,Luxembourg
Portugal,2007,2000000,Portuguese Presidency of the Council of the European Union,https://www.coin-database.com/images/Portugal/253-v.jpg,0,3.6,Portugal
Monaco,2007,20001,25th Anniversary of the Death of Grace Kelly,https://www.coin-database.com/images/Monaco/254-v.jpg,0,3890.0,Monaco
Vatican City,2007,100000,80th birthday of His Holiness Pope Benedict XVI,https://www.coin-database.com/images/Vatican-City/252-v.jpg,0,169.0,Vatican City
San Marino,2007,130000,200th Birthday of Giuseppe Garibaldi,https://www.coin-database.com/images/San-Marino/255-v.jpg,0,59.0,San Marino
Finland,2007,2000000,90th Anniversary of Finland's Independence,https://www.coin-database.com/images/Finland/256-v.jpg,0,10.0,Suomi/Finland
Germany,2008,30000000,St. Michaelis' Church (Hamburg),https://www.coin-database.com/images/Germany/258-v.jpg,0,3.4,Deutschland
Luxembourg,2008,1300000,Grand-Duke Henri and the ‘Château de Berg’,https://www.coin-database.com/images/Luxembourg/259-v.jpg,0,5.9,Luxembourg
Italy,2008,5000000,60th Anniversary of the Universal Declaration of Human Rights,https://www.coin-database.com/images/Italy/260-v.jpg,0,8.5,Italia
Slovenia,2008,1000000,500th anniversary of Primož Trubar's birth,https://www.coin-database.com/images/Slovenia/261-v.jpg,0,4.5,Slovenija
San Marino,2008,130000,European Year of Intercultural Dialogue,https://www.coin-database.com/images/San-Marino/262-v.jpg,0,79.0,San Marino
Belgium,2008,5000000,60th anniversary of the Universal Declaration of Human Rights,https://www.coin-database.com/images/Belgium/263-v.jpg,0,5.9,Belgique/België
France,2008,20000000,French Presidency of the Council of the European Union,https://www.coin-database.com/images/France/264-v.jpg,0,4.9,France
Vatican City,2008,100000,Paul the Apostle,https://www.coin-database.com/images/Vatican-City/265-v.jpg,0,85.0,Vatican City
Portugal,2008,1034999,60th Anniversary of the Universal Declaration of Human Rights,https://www.coin-database.com/images/Portugal/266-v.jpg,0,3.5,Portugal
Finland,2008,1500000,60th Anniversary of the Universal Declaration of Human Rights,https://www.coin-database.com/images/Finland/267-v.jpg,0,19.9,Suomi/Finland
Luxembourg,2009,1400000,90th Anniversary of Grand Duchess Charlotte's Accession to the Throne,https://www.coin-database.com/images/Luxembourg/270-v.jpg,0,4.9,Luxembourg
Germany,2009,30000000,Ludwigskirche in Saarbrücken (Saarland),https://www.coin-database.com/images/Germany/269-v.jpg,0,4.5,Deutschland
Portugal,2009,1285000,Lusophony Games,https://www.coin-database.com/images/Portugal/271-v.jpg,0,5.9,Portugal
San Marino,2009,130000,European Year of Creativity and Innovation,https://www.coin-database.com/images/San-Marino/272-v.jpg,0,40.0,San Marino
Belgium,2009,5000000,200th Anniversary of birth of Louis Braille,https://www.coin-database.com/images/Belgium/273-v.jpg,0,6.2,Belgique/België
Vatican City,2009,106084,International Year of Astronomy,https://www.coin-database.com/images/Vatican-City/275-v.jpg,0,79.0,Vatican City
Italy,2009,2000000,200th Anniversary of birth of Louis Braille,https://www.coin-database.com/images/Italy/274-v.jpg,0,4.9,Italia
Finland,2009,1600000,200 years of Finnish autonomy,https://www.coin-database.com/images/Finland/277-v.jpg,0,15.9,Suomi/Finland
Slovakia,2009,1000000,20th Anniversary of the Start of the Velvet Revolution,https://www.coin-database.com/images/Slovakia/276-v.jpg,0,3.5,Slovensko
France,2010,20000000,70th Anniversary of the Appeal of June 18 by General de Gaulle,https://www.coin-database.com/images/France/280-v.jpg,0,3.5,France
Vatican City,2010,115000,Year for priests,https://www.coin-database.com/images/Vatican-City/286-v.jpg,0,54.9,Vatican City
Greece,2010,2500000,2.500th anniversary of the Battle of Marathon,https://www.coin-database.com/images/Greece/288-v.jpg,0,5.9,Elláda
Finland,2010,1600000,150th anniversary of Finnish currency,https://www.coin-database.com/images/Finland/289-v.jpg,0,5.9,Suomi/Finland
Germany,2010,30000000,Federal state of Bremen,https://www.coin-database.com/images/Germany/278-v.jpg,0,3.5,Deutschland
Spain,2010,8000000,UNESCO: The historic town center of Cordoba,https://www.coin-database.com/images/Spain/281-v.jpg,0,3.9,España
Luxembourg,2010,1000000,Coat of arms of the Grand Duke,https://www.coin-database.com/images/Luxembourg/284-v.jpg,0,11.0,Luxembourg
Italy,2010,4000000,200th anniversary of birth of Camillo Benso,https://www.coin-database.com/images/Italy/285-v.jpg,0,3.5,Italia
Slovenia,2010,1000000,200th anniversary of the Botanical Garden in Ljubljana,https://www.coin-database.com/images/Slovenia/279-v.jpg,0,4.5,Slovenija
Belgium,2010,5000000,Belgian Presidency of the Council of the European Union in 2010,https://www.coin-database.com/images/Belgium/283-v.jpg,0,3.9,Belgique/België
Portugal,2010,2035000,100th anniversary of Republic Portugal,https://www.coin-database.com/images/Portugal/282-v.jpg,0,4.9,Portugal
San Marino,2010,130000,500th Anniversary of the death of Sandro Botticelli,https://www.coin-database.com/images/San-Marino/287-v.jpg,0,55.0,San Marino
Slovakia,2011,1000000,20th anniversary of the formation of the Visegrad Group,https://www.coin-database.com/images/Slovakia/291-v.jpg,0,4.5,Slovensko
Netherlands,2011,4000000,The 500th anniversary of the publication of the world-famous book Laus Stultitiae by Desiderus Erasmus,https://www.coin-database.com/images/Netherlands/301-v.jpg,0,12.9,Nederland
Germany,2011,30000000,Federal state of North Rhine-Westphalia,https://www.coin-database.com/images/Germany/290-v.jpg,0,3.4,Deutschland
